transaction_id,aspek1,aspek2,aspek3,rerata,created_at,updated_at
2,4,4,4,4.00,2025-07-10 08:14:57,2025-07-10 08:14:57
3,4,4,4,4.00,2025-07-10 08:14:57,2025-07-10 08:14:57
4,4,4,4,4.00,2025-07-10 08:14:58,2025-07-10 08:14:58
1,4,4,4,4.00,2025-07-10 08:14:58,2025-07-10 08:14:58
5,4,4,4,4.00,2025-07-10 08:16:42,2025-07-10 08:16:42
6,4,4,4,4.00,2025-07-10 08:16:42,2025-07-10 08:16:42
7,4,4,4,4.00,2025-07-10 08:16:43,2025-07-10 08:16:43
8,4,4,4,4.00,2025-07-10 08:16:43,2025-07-10 08:16:43
9,4,4,4,4.00,2025-07-10 08:16:44,2025-07-10 08:16:44
10,4,4,4,4.00,2025-07-10 08:16:44,2025-07-10 08:16:44
11,4,4,4,4.00,2025-07-10 08:16:44,2025-07-10 08:16:44
12,4,4,4,4.00,2025-07-10 08:16:45,2025-07-10 08:16:45
13,4,4,4,4.00,2025-07-10 08:16:45,2025-07-10 08:16:45
14,4,4,4,4.00,2025-07-10 08:19:42,2025-07-10 08:19:42
15,4,4,4,4.00,2025-07-10 08:19:42,2025-07-10 08:19:42
16,4,4,4,4.00,2025-07-10 08:19:43,2025-07-10 08:19:43
17,4,4,4,4.00,2025-07-10 08:19:43,2025-07-10 08:19:43
18,4,4,4,4.00,2025-07-10 08:19:43,2025-07-10 08:19:43
19,4,4,4,4.00,2025-07-10 08:19:44,2025-07-10 08:19:44
20,4,4,4,4.00,2025-07-10 08:19:44,2025-07-10 08:19:44
21,4,4,4,4.00,2025-07-10 08:19:44,2025-07-10 08:19:44
22,4,4,4,4.00,2025-07-10 08:19:45,2025-07-10 08:19:45
23,4,4,4,4.00,2025-07-10 08:22:06,2025-07-10 08:22:06
24,4,4,4,4.00,2025-07-10 08:22:06,2025-07-10 08:22:06
25,4,5,4,4.33,2025-07-10 08:22:06,2025-07-10 08:22:06
26,4,4,4,4.00,2025-07-10 08:22:07,2025-07-10 08:22:07
27,4,4,4,4.00,2025-07-10 08:22:07,2025-07-10 08:22:07
28,4,4,4,4.00,2025-07-10 08:22:08,2025-07-10 08:22:08
29,4,4,4,4.00,2025-07-10 08:23:37,2025-07-10 08:23:37
30,4,4,4,4.00,2025-07-10 08:25:02,2025-07-10 08:25:02
31,4,4,4,4.00,2025-07-10 08:25:02,2025-07-10 08:25:02
32,4,4,4,4.00,2025-07-10 08:25:03,2025-07-10 08:25:03
33,4,4,4,4.00,2025-07-10 08:25:03,2025-07-10 08:25:03
34,4,4,4,4.00,2025-07-10 08:28:04,2025-07-10 08:28:04
35,4,4,4,4.00,2025-07-10 08:28:04,2025-07-10 08:28:04
36,4,4,4,4.00,2025-07-10 08:28:04,2025-07-10 08:28:04
37,4,4,4,4.00,2025-07-10 08:29:37,2025-07-10 08:29:37
38,4,4,4,4.00,2025-07-10 08:29:37,2025-07-10 08:29:37
39,4,4,4,4.00,2025-07-10 08:29:37,2025-07-10 08:29:37
40,4,4,4,4.00,2025-07-10 08:29:38,2025-07-10 08:29:38
41,4,4,4,4.00,2025-07-10 08:29:38,2025-07-10 08:29:38
42,4,4,4,4.00,2025-07-10 08:29:38,2025-07-10 08:29:38
43,4,4,4,4.00,2025-07-10 08:29:39,2025-07-10 08:29:39
44,4,4,4,4.00,2025-07-10 08:29:39,2025-07-10 08:29:39
45,4,4,4,4.00,2025-07-10 08:29:39,2025-07-10 08:29:39
46,4,4,4,4.00,2025-07-10 08:29:40,2025-07-10 08:29:40
47,4,4,4,4.00,2025-07-10 08:29:40,2025-07-10 08:29:40
48,4,4,4,4.00,2025-07-10 08:29:40,2025-07-10 08:29:40
49,4,4,4,4.00,2025-07-10 08:31:02,2025-07-10 08:31:02
50,4,4,4,4.00,2025-07-10 08:31:03,2025-07-10 08:31:03
51,5,5,5,5.00,2025-07-10 08:37:01,2025-07-10 08:37:01
52,4,5,5,4.67,2025-07-10 08:37:02,2025-07-10 08:37:02
53,4,5,5,4.67,2025-07-10 08:37:02,2025-07-10 08:37:02
54,5,4,5,4.67,2025-07-10 08:37:02,2025-07-10 08:37:02
55,5,4,5,4.67,2025-07-10 08:37:03,2025-07-10 08:37:03
56,5,5,5,5.00,2025-07-10 08:37:03,2025-07-10 08:37:03
57,5,4,5,4.67,2025-07-10 08:37:04,2025-07-10 08:37:04
58,5,4,5,4.67,2025-07-10 08:38:25,2025-07-10 08:38:25
59,5,5,4,4.67,2025-07-10 08:38:25,2025-07-10 08:38:25
60,5,4,5,4.67,2025-07-10 08:38:26,2025-07-10 08:38:26
61,5,4,4,4.33,2025-07-10 08:38:26,2025-07-10 08:38:26
62,5,5,5,5.00,2025-07-10 08:38:27,2025-07-10 08:38:27
63,5,5,5,5.00,2025-07-10 08:38:27,2025-07-10 08:38:27
64,5,5,5,5.00,2025-07-10 08:38:28,2025-07-10 08:38:28
65,5,5,5,5.00,2025-07-10 08:40:33,2025-07-10 08:40:33
66,5,4,5,4.67,2025-07-10 08:40:34,2025-07-10 08:40:34
67,5,5,5,5.00,2025-07-10 08:40:34,2025-07-10 08:40:34
68,5,4,5,4.67,2025-07-10 08:40:34,2025-07-10 08:40:34
69,4,5,5,4.67,2025-07-10 08:40:35,2025-07-10 08:40:35
70,4,5,5,4.67,2025-07-10 08:40:35,2025-07-10 08:40:35
71,5,5,5,5.00,2025-07-10 08:41:53,2025-07-10 08:41:53
72,5,5,5,5.00,2025-07-10 08:41:53,2025-07-10 08:41:53
73,5,5,5,5.00,2025-07-10 08:41:53,2025-07-10 08:41:53
74,5,4,5,4.67,2025-07-10 08:44:15,2025-07-10 08:44:15
75,4,5,5,4.67,2025-07-10 08:44:15,2025-07-10 08:44:15
76,4,5,4,4.33,2025-07-10 08:44:15,2025-07-10 08:44:15
77,4,4,4,4.00,2025-07-10 08:44:16,2025-07-10 08:44:16
78,4,5,5,4.67,2025-07-10 08:44:16,2025-07-10 08:44:16
79,4,4,4,4.00,2025-07-10 08:44:17,2025-07-10 08:44:17
80,4,4,5,4.33,2025-07-10 08:46:37,2025-07-10 08:46:37
81,4,4,4,4.00,2025-07-10 08:46:38,2025-07-10 08:46:38
82,4,5,4,4.33,2025-07-10 08:46:38,2025-07-10 08:46:38
83,4,4,5,4.33,2025-07-10 08:46:39,2025-07-10 08:46:39
84,4,5,4,4.33,2025-07-10 08:46:39,2025-07-10 08:46:39
85,4,5,5,4.67,2025-07-10 08:46:39,2025-07-10 08:46:39
86,4,4,4,4.00,2025-07-10 08:46:40,2025-07-10 08:46:40
87,4,4,4,4.00,2025-07-10 08:46:40,2025-07-10 08:46:40
88,4,4,4,4.00,2025-07-10 08:46:40,2025-07-10 08:46:40
89,4,4,4,4.00,2025-07-10 08:46:41,2025-07-10 08:46:41
91,5,5,5,5.00,2025-07-10 08:50:11,2025-07-10 08:50:11
92,5,5,5,5.00,2025-07-10 08:50:11,2025-07-10 08:50:11
93,5,5,5,5.00,2025-07-10 08:50:12,2025-07-10 08:50:12
94,5,5,5,5.00,2025-07-10 08:50:12,2025-07-10 08:50:12
95,5,4,5,4.67,2025-07-10 08:50:12,2025-07-10 08:50:12
96,5,4,5,4.67,2025-07-10 08:50:13,2025-07-10 08:50:13
97,5,4,5,4.67,2025-07-10 08:51:43,2025-07-10 08:51:43
98,5,5,5,5.00,2025-07-10 08:51:43,2025-07-10 08:51:43
99,5,5,5,5.00,2025-07-10 08:57:25,2025-07-10 08:57:25
100,5,4,5,4.67,2025-07-10 08:57:25,2025-07-10 08:57:25
101,5,5,5,5.00,2025-07-10 08:57:25,2025-07-10 08:57:25
102,5,5,5,5.00,2025-07-10 08:57:26,2025-07-10 08:57:26
103,5,4,4,4.33,2025-07-10 08:57:26,2025-07-10 08:57:26
104,5,5,5,5.00,2025-07-10 08:57:27,2025-07-10 08:57:27
105,5,5,5,5.00,2025-07-10 08:57:27,2025-07-10 08:57:27
106,5,5,5,5.00,2025-07-10 08:57:27,2025-07-10 08:57:27
107,5,4,4,4.33,2025-07-10 08:57:28,2025-07-10 08:57:28
108,5,4,4,4.33,2025-07-10 08:57:28,2025-07-10 08:57:28
109,5,4,4,4.33,2025-07-10 08:58:48,2025-07-10 08:58:48
110,5,4,4,4.33,2025-07-10 08:58:48,2025-07-10 08:58:48
111,5,5,5,5.00,2025-07-10 08:58:49,2025-07-10 08:58:49
112,5,4,4,4.33,2025-07-10 08:58:49,2025-07-10 08:58:49
113,5,4,4,4.33,2025-07-10 08:58:50,2025-07-10 08:58:50
114,5,5,5,5.00,2025-07-10 08:58:51,2025-07-10 08:58:51
115,5,4,4,4.33,2025-07-10 08:58:51,2025-07-10 08:58:51
116,5,5,5,5.00,2025-07-10 09:01:33,2025-07-10 09:01:33
117,5,5,5,5.00,2025-07-10 09:01:33,2025-07-10 09:01:33
118,5,4,4,4.33,2025-07-10 09:01:33,2025-07-10 09:01:33
119,5,5,5,5.00,2025-07-10 09:01:34,2025-07-10 09:01:34
120,5,4,4,4.33,2025-07-10 09:01:34,2025-07-10 09:01:34
121,5,4,4,4.33,2025-07-10 09:09:07,2025-07-10 09:09:07
122,5,4,5,4.67,2025-07-10 09:11:17,2025-07-10 09:11:17
123,5,4,4,4.33,2025-07-10 09:12:23,2025-07-10 09:12:23
124,5,5,5,5.00,2025-07-10 09:18:38,2025-07-10 09:18:38
125,5,4,4,4.33,2025-07-10 09:18:39,2025-07-10 09:18:39
126,5,4,4,4.33,2025-07-10 09:20:00,2025-07-10 09:20:00
127,5,4,4,4.33,2025-07-10 09:21:58,2025-07-10 09:21:58
128,5,5,5,5.00,2025-07-10 09:22:49,2025-07-10 09:22:49
129,5,5,5,5.00,2025-07-10 09:22:50,2025-07-10 09:22:50
130,5,5,5,5.00,2025-07-10 09:22:50,2025-07-10 09:22:50
131,5,4,4,4.33,2025-07-10 09:22:50,2025-07-10 09:22:50
132,5,5,5,5.00,2025-07-10 09:29:08,2025-07-10 09:29:08
133,5,5,5,5.00,2025-07-10 09:29:08,2025-07-10 09:29:08
134,5,5,4,4.67,2025-07-10 09:29:09,2025-07-10 09:29:09
135,5,5,4,4.67,2025-07-10 09:30:42,2025-07-10 09:30:42
136,5,5,4,4.67,2025-07-10 09:30:42,2025-07-10 09:30:42
137,5,4,5,4.67,2025-07-10 09:30:43,2025-07-10 09:30:43
138,5,5,5,5.00,2025-07-10 09:30:43,2025-07-10 09:30:43
139,5,5,5,5.00,2025-07-10 09:30:44,2025-07-10 09:30:44
140,5,5,4,4.67,2025-07-10 09:33:34,2025-07-10 09:33:34
141,5,5,5,5.00,2025-07-10 09:33:35,2025-07-10 09:33:35
142,4,5,5,4.67,2025-07-10 09:33:35,2025-07-10 09:33:35
